OBJECTID,Id,CrashCount,GroupCode,NUM_FATAL,NUM_INJURY,NUM_NONINJ,EPDO,L1STREET,L2STREET,L1STREETRT,L2STREETRT,FC1STREET,FC2STREET,FC1STREETR,FC2STREETR,RPAS,TOWNS,MASSDOT,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ShapeSTLength,Top_200_Ca,Top_in_RPA,RPA_abbrev,Shape_Leng
11,0,19,56404371-179a-4391-8ba7-57aafa49e210,0,6,13,43,CRANBERRY HIGHWAY,GAULT ROAD,SR28 NB,L142264,CRANBERRY HIGHWAY,GAULT ROAD,SR28 NB,L142264,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,WAREHAM,5,{AD2BCEC8-64E4-49F1-948D-3084234E053E},,,,,156.880324, ,Y,SRPEDD,156.880337
12,0,14,3d5bde6a-50e5-4030-a26e-bd10a3b7a8ea,1,9,4,59,WEST MAIN STREET,CENTER ROAD,SR197 NB,N3528,WEST MAIN STREET,CENTER ROAD,SR197 NB,N3528,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,DUDLEY,3,{F864FDE8-91CB-4679-A744-B3DD4C270694},,,,,162.23168, ,Y,CMRPC,162.231669
13,0,23,3de36815-3e2f-4754-bec6-b7007e62c2cc,0,6,17,47,GRANITE STREET,ACCESS ROAD,N1658,L144801,GRANITE STREET,ACCESS ROAD,N1658,L144801,METROPOLITAN AREA PLANNING COUNCIL,QUINCY,6,{24F423E9-026F-49FC-889C-7EEC74782F3D},,,,,251.635165, ,Y,MAPC,251.635164
14,0,38,1d4d9c7d-4bed-4ded-9006-0d173d87de39,0,7,31,66,BELMONT STREET,LINCOLN STREET,SR9 EB, ,BELMONT STREET,LINCOLN STREET,SR9 EB, ,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,WORCESTER,3,{7B89D54F-955E-4C1E-9CB2-73821C4FCFF4},,,,,179.879562, ,Y,CMRPC,179.879528
15,0,22,b28b9991-abfe-4fbd-8e7e-e044959a9424,0,10,12,62,UNION AVENUE,MOUNT WAYTE AVENUE,N1389,N2720,UNION AVENUE,MOUNT WAYTE AVENUE,N1389,N2720,METROPOLITAN AREA PLANNING COUNCIL,FRAMINGHAM,3,{14668FCD-5D26-40AD-9410-0701FB015A6E},,,,,156.880317, ,Y,MAPC,156.880307
16,0,25,13586c52-4a8d-40b6-84bf-7122942ed87e,0,10,15,65,MASSACHUSETTS AVENUE,MASSACHUSETTS AVENUE CONNECTOR,N120 NB,N125 NB,MASSACHUSETTS AVENUE,MASSACHUSETTS AVENUE CONNECTOR,N120 NB,N125 NB,METROPOLITAN AREA PLANNING COUNCIL,BOSTON,6,{5C86B0EE-C32C-4B6A-A583-410D157B017B},,,,,211.500284, ,Y,MAPC,211.500279
17,0,41,6185d30a-d562-422e-a40f-cffe8a8e1c5d,0,3,38,53,LAFAYETTE ROAD,BEACH ROAD,US1 NB,SR1A NB,LAFAYETTE ROAD,BEACH ROAD,US1 NB,SR1A NB,MERRIMACK VALLEY PLANNING COMMISSION,SALISBURY,4,{5DB9EDC9-8650-414B-9214-14C4264F1701},,,,,344.594866, ,Y,MVPC,344.595087
18,0,60,31bb7e44-a10a-4ab4-928a-0c0ab36009fd,0,19,41,136,PILGRIM HIGHWAY,RAMP-RT 3 SB TO RT 53,SR3 SB,R22045,PILGRIM HIGHWAY,RAMP-RT 3 SB TO RT 53,SR3 SB,R22045,METROPOLITAN AREA PLANNING COUNCIL,HANOVER,5,{C2E9B7EB-1FEB-4B5F-9446-9EA57E3963B6},,,,,156.880317,"N, RAMP",Y,MAPC,156.880307
19,0,21,733e7760-6c3a-460a-8f1c-fe9d1c87f1aa,0,6,15,45,EASTERN AVENUE,PLEASANT STREET,US6 EB,N5411,EASTERN AVENUE,PLEASANT STREET,US6 EB,N5411,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,FALL RIVER,5,{E58A113F-DF9E-4390-9ADA-C125B4025857},,,,,283.650232, ,Y,SRPEDD,283.65027
20,0,17,1549ebeb-8831-499d-96f2-02231cb3d76d,0,8,9,49,INTERSTATE 495,RAMP-RT 495 NB TO RT 138,I495 NB,R13014,INTERSTATE 495,RAMP-RT 495 NB TO RT 138,I495 NB,R13014,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,RAYNHAM,5,{8A6C70F4-FF6C-4F23-B221-FC419C655690},,,,,156.880243, ,Y,SRPEDD,156.880277
21,0,25,5c30e396-4f54-43d7-ac89-5bdff8a7e060,0,3,22,37,EAST WEST DENNIS ROAD,THEOPHILUS F SMITH ROAD,SR134 NB,N3361,EAST WEST DENNIS ROAD,THEOPHILUS F SMITH ROAD,SR134 NB,N3361,CAPE COD COMMISSION,DENNIS,5,{0F5B5828-0E7E-4188-AFD8-07A889796040},,,,,316.308134, ,Y,CCC,316.308179
22,0,99,1ccae1b5-54d1-458c-8732-f6bc3169efbc,0,24,75,195,MIDDLESEX STREET,ROURKE BRIDGE,N091 EB,N090 NB,MIDDLESEX STREET,ROURKE BRIDGE,N091 EB,N090 NB,NORTHERN MIDDLESEX COUNCIL OF GOVERNMENTS,LOWELL,4,{3EE5099A-817E-44BE-AEC1-A5F53B895E7C},,,,,307.916652,Y,Y,NMCOG,307.916563
23,0,32,44a8cdfa-80c0-4223-baf1-c54a730b763f,0,9,23,68,RAMP-RT 95 SB TO RT 1 SB,INTERSTATE 95,R12556,I95 SB,INTERSTATE 95,RAMP-RT 95 SB TO RT 1 SB,I95 SB,R12556,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,ATTLEBORO,5,{488A2884-5B3B-4277-B890-88BA0DB2A0F2},,,,,156.880355, ,Y,SRPEDD,156.88037
24,0,34,fb5d33e2-922c-4b99-8c23-a097946a2c02,0,13,21,86,BOSTON ROAD,HARVEY STREET,N011,L200952,BOSTON ROAD,HARVEY STREET,N011,L200952,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{BABB6F21-7EFD-4252-9F78-1C62FD81F345},,,,,195.095996, ,Y,PVPC,195.096048
25,0,17,240a7a21-3c9d-4429-bab0-1b73a2f46705,0,7,10,45,SANDWICH ROAD,CRANBERRY HIGHWAY,US6 WB, ,SANDWICH ROAD,CRANBERRY HIGHWAY,US6 WB, ,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,WAREHAM,5,{186B02E8-FFB8-43F4-9053-7406CC94ADF3},,,,,156.880306, ,Y,SRPEDD,156.880337
26,0,14,f0e3cea9-1bb0-48b5-a97f-617fd7aa3a5c,0,6,8,38,CHICKERING STREET,WINTHROP AVENUE,L201539,SR114 EB,WINTHROP AVENUE,CHICKERING STREET,SR114 EB,L201539,MERRIMACK VALLEY PLANNING COMMISSION,LAWRENCE,4,{4444F332-292F-47FE-8E14-99424C3EE5AD},,,,,156.880271, ,Y,MVPC,156.880307
27,0,33,77ee016f-c3bd-403a-ae02-a10595e448a4,0,11,22,77,THURSTON STREET,WASHINGTON STREET,L172193 NB,US1 NB,WASHINGTON STREET,THURSTON STREET,US1 NB,L172193 NB,METROPOLITAN AREA PLANNING COUNCIL,WRENTHAM,5,{99EBEF78-F89F-4287-BC39-344AF5DD14F6},,,,,176.837913, ,Y,MAPC,176.837869
28,0,19,bd6e11a9-1bd4-4c58-9094-c18eab4f644f,0,9,10,55,ACUSHNET AVENUE,CENTRAL AVENUE,N5319,L207865,ACUSHNET AVENUE,CENTRAL AVENUE,N5319,L207865,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,NEW BEDFORD,5,{A5DC2BE0-17AC-429C-A359-0D15C52604E5},,,,,231.827136, ,Y,SRPEDD,231.827124
29,0,41,c179c5dd-b3f0-4a8c-a72f-f5fdd8de0349,0,13,28,93,COUNTY STREET,BUFFINTON STREET,SR138 NB,N5437,COUNTY STREET,BUFFINTON STREET,SR138 NB,N5437,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,SOMERSET,5,{89421336-A961-47CA-BD4A-FE92150AD8EB},,,,,462.030059, ,Y,SRPEDD,462.030063
30,0,44,0ca8d8b5-1001-433b-ba50-c42f6bb57157,0,13,31,96,YANKEE DIVISION HIGHWAY,RAMP-RTS 93 SB/1 SB TO RT 24 SB,I93 SB,SR24 SB,YANKEE DIVISION HIGHWAY,RAMP-RTS 93 SB/1 SB TO RT 24 SB,I93 SB,SR24 SB,METROPOLITAN AREA PLANNING COUNCIL,QUINCY,6,{C1620538-26C2-4F38-8B7F-02E85CBF90C6},,,,,379.06054,"N, RAMP",Y,MAPC,379.060602
31,0,14,753cadd1-77a9-4e15-ba7a-95bf4bc749e6,0,8,6,46,MOUNT AUBURN STREET,MEMORIAL DRIVE, , ,MOUNT AUBURN STREET,MEMORIAL DRIVE, , ,METROPOLITAN AREA PLANNING COUNCIL,CAMBRIDGE,6,{EEC6A0C8-94B7-40D5-847B-0AE136BE7D39},,,,,156.880295, ,Y,MAPC,156.880344
32,0,31,f17612f6-0746-4ef4-a4e5-0369301d474d,0,7,24,59,PLEASANT STREET,SEVENTH STREET,N5411,N5423,PLEASANT STREET,SEVENTH STREET,N5411,N5423,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,FALL RIVER,5,{AC713838-2C9F-4D85-A4EF-1BFC4C7B9675},,,,,216.725937, ,Y,SRPEDD,216.725964
33,0,18,7bd6389f-ac1c-4626-983a-4e8b8c4c93ac,0,7,11,46,INTERSTATE 391,RAMP-MAIN ST TO RT 391 SB,I391 NB,R17015,INTERSTATE 391,RAMP-MAIN ST TO RT 391 SB,I391 NB,R17015,PIONEER VALLEY PLANNING COMMISSION,HOLYOKE,2,{89ECAE09-C7ED-4560-9782-F163E1DC7054},,,,,186.463719, ,Y,PVPC,186.463651
34,0,76,c229a04d-755e-44fa-aeb9-bb260527f2ca,0,18,58,148,PARK AVENUE,MAY STREET,SR9 EB,N3712,PARK AVENUE,MAY STREET,SR9 EB,N3712,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,WORCESTER,3,{4062ED9A-BC49-4DD0-989F-D85255292DCB},,,,,381.809865,Y,Y,CMRPC,381.809945
35,0,28,8ba2095c-a5bf-42dd-8f8f-3cab7c04fa85,0,9,19,64,ROUTE 3,RAMP-RT 3 NB TO RT 62,US3 NB,R22071,ROUTE 3,RAMP-RT 3 NB TO RT 62,US3 NB,R22071,METROPOLITAN AREA PLANNING COUNCIL,BEDFORD,4,{A062E9AD-0A29-483F-B352-169327234C36},,,,,157.541749, ,Y,MAPC,157.541752
36,0,43,a526b25a-ded0-4d8e-87e8-1b3a0c1e746c,0,13,30,95,MASSACHUSETTS TURNPIKE,LINCOLN STREET,I90 EB,N2524,MASSACHUSETTS TURNPIKE,LINCOLN STREET,I90 EB,N2524,METROPOLITAN AREA PLANNING COUNCIL,BOSTON,6,{430C9327-DC28-483C-B126-F249A5CA37E3},,,,,201.109682, ,Y,MAPC,201.109697
37,0,26,b63a7ec1-f42b-4cb2-8f3a-3acc7970e1a2,0,6,20,50,INTERSTATE 495,RAMP-RT 495 NB TO RT 110 (AMESBURY RD),I495 NB,R13193,INTERSTATE 495,RAMP-RT 495 NB TO RT 110 (AMESBURY RD),I495 NB,R13193,MERRIMACK VALLEY PLANNING COMMISSION,HAVERHILL,4,{62CCC991-7C9E-4210-B387-A53232580CBB},,,,,156.880361, ,Y,MVPC,156.880358
38,0,19,ea470ca3-eb36-4235-a1fb-49fc1a3ddd20,0,7,12,47,STATE ROAD,FORGE ROAD,US6 EB,L115528,STATE ROAD,FORGE ROAD,US6 EB,L115528,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,WESTPORT,5,{5DA17F56-BFC4-4383-8B7B-3E7574BB5D66},,,,,188.39671, ,Y,SRPEDD,188.396698
39,0,12,8d0030eb-c2d2-491d-af00-023561a1065a,0,7,5,40,WEST MAIN STREET,PINE STREET, ,N3240,WEST MAIN STREET,PINE STREET, ,N3240,CAPE COD COMMISSION,BARNSTABLE,5,{0D20B87B-F6B0-40F1-9AD2-270A3F4BF082},,,,,158.564982, ,Y,CCC,158.56493
40,0,58,64db3446-dba4-45c7-a575-09f5442d87ec,0,9,49,94,WHALON STREET,PIERCE AVENUE,N3984,L179163,WHALON STREET,PIERCE AVENUE,N3984,L179163,MONTACHUSETT REGIONAL PLANNING COMMISSION,FITCHBURG,3,{AC6B73DA-AEE8-4A5E-8028-3F5664AB795A},,,,,290.308822, ,Y,MRPC,290.308927
41,0,23,3f135edf-499b-4fdb-a9ac-edde8cf283de,0,5,18,43,WASHINGTON STREET,SOUTH STREET,SR3A NB,N1663,WASHINGTON STREET,SOUTH STREET,SR3A NB,N1663,METROPOLITAN AREA PLANNING COUNCIL,QUINCY,6,{7F6C2F85-BA73-4842-8D18-65749A533E31},,,,,298.826614, ,Y,MAPC,298.826529
42,0,28,99c4aaf2-2d49-4f4a-858a-d826baec41c8,0,12,16,76,COPELAND STREET,COMMON STREET,N1647,N2981,COPELAND STREET,COMMON STREET,N1647,N2981,METROPOLITAN AREA PLANNING COUNCIL,QUINCY,6,{45B08FA0-179C-43B9-8BD4-29154F53D36C},,,,,322.890498, ,Y,MAPC,322.890592
43,0,19,c3123ae4-9dc4-4e1a-91bc-0791941080c5,0,4,15,35,NORTH MAIN STREET,STATE STREET,SR12 NB,L195759,NORTH MAIN STREET,STATE STREET,SR12 NB,L195759,MONTACHUSETT REGIONAL PLANNING COMMISSION,LEOMINSTER,3,{9FFF0576-CC2F-48C5-98F1-64A1C0F684C6},,,,,237.189062, ,Y,MRPC,237.189185
44,0,35,e1e23e18-94da-49c0-ab59-566ac232360a,0,7,28,63,MASSACHUSETTS TURNPIKE, ,I90 EB, ,MASSACHUSETTS TURNPIKE, ,I90 EB, ,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,CHARLTON,3,{2C8C50AC-B8E6-48A9-A7B8-088E3DF1043E},,,,,198.178028, ,Y,CMRPC,198.178018
45,0,27,c8a6165b-57ea-4b2a-81a7-bd046203b380,0,11,16,71,REVERE BEACH PARKWAY,SANTILLI CIRCLE,SR16 EB, ,REVERE BEACH PARKWAY,SANTILLI CIRCLE,SR16 EB, ,METROPOLITAN AREA PLANNING COUNCIL,EVERETT,4,{CD42BE2C-5A65-485E-868A-65456C191D52},,,,,206.859217, ,Y,MAPC,206.859297
46,0,32,e2b993d3-6df9-4a95-9af7-71e38077c49b,0,4,28,48,EAST CENTRAL STREET,CHURCH STREET,SR135 EB,L111673,EAST CENTRAL STREET,CHURCH STREET,SR135 EB,L111673,METROPOLITAN AREA PLANNING COUNCIL,NATICK,3,{8EB9F075-C8A8-455C-A737-3F43FAE4B24F},,,,,328.809376, ,Y,MAPC,328.809516
47,0,169,efa507de-a61d-4a5c-b83c-b848a63535f4,0,38,131,321,JOHN F FITZGERALD EXPRESSWAY,ATLANTIC AVENUE,I93 NB,N381,JOHN F FITZGERALD EXPRESSWAY,ATLANTIC AVENUE,I93 NB,N381,METROPOLITAN AREA PLANNING COUNCIL,BOSTON,6,{8D822DCD-39C1-4145-B6A5-A597F94AFCC6},,,,,260.097905,"N, HIGHWAY",Y,MAPC,260.097867
48,0,52,eaf18399-9232-4f8c-b628-0916ef90e4f3,0,13,39,104,INTERSTATE 495,RAMP-RT 495 NB TO WOBURN ST,I495 NB,R13160,INTERSTATE 495,RAMP-RT 495 NB TO WOBURN ST,I495 NB,R13160,NORTHERN MIDDLESEX COUNCIL OF GOVERNMENTS,LOWELL,4,{44EA39E0-11D3-4E68-963D-122D0DD78BF8},,,,,156.880365,"N, RAMP",Y,NMCOG,156.88034
49,0,36,d5b8d25b-c2cf-45c8-8857-6e0ad188987a,0,13,23,88,STORROW DRIVE,BERKELEY STREET,N082 EB,N130 NB,STORROW DRIVE,BERKELEY STREET,N082 EB,N130 NB,METROPOLITAN AREA PLANNING COUNCIL,BOSTON,6,{C8650233-68FA-49D1-BDEA-1C6602950156},,,,,352.985034, ,Y,MAPC,352.984993
50,0,27,3a9f6fdf-4001-4482-a426-57e42846a4f5,0,9,18,63,CHERRY STREET,RAMP-RT 91 SB TO RT 202,US202 NB,R15579,CHERRY STREET,RAMP-RT 91 SB TO RT 202,US202 NB,R15579,PIONEER VALLEY PLANNING COMMISSION,HOLYOKE,2,{AEFB2C25-5F70-43DB-9A84-E8CF4CBF8A2C},,,,,214.908019, ,Y,PVPC,214.908066
51,0,22,efc3e525-7035-43a8-9af3-f3a6a8c5558c,0,6,16,46,MOODY STREET,CARTER STREET,N077 NB,N107 NB,MOODY STREET,CARTER STREET,N077 NB,N107 NB,METROPOLITAN AREA PLANNING COUNCIL,WALTHAM,4,{1510F570-FC4C-459D-816C-F90E2FAB6E68},,,,,203.10637, ,Y,MAPC,203.10636
52,0,22,c229c2ec-eacd-464f-8842-9e6b47f23dba,0,6,16,46,WASHINGTON STREET,PINE STREET,US1 NB,L156005,WASHINGTON STREET,PINE STREET,US1 NB,L156005,METROPOLITAN AREA PLANNING COUNCIL,FOXBOROUGH,5,{2B71D3F8-CA0F-44F3-AA90-61F496A55A48},,,,,156.880388, ,Y,MAPC,156.880337
53,0,28,11f7ab47-f66d-4833-a92c-bcc7fc31f32a,1,15,12,97,PITCHERS WAY,FALMOUTH ROAD,N3234,SR28 NB,FALMOUTH ROAD,PITCHERS WAY,SR28 NB,N3234,CAPE COD COMMISSION,BARNSTABLE,5,{006E05E9-5287-4DB6-9233-BBF1E6D625B7},,,,,177.719896,Y,Y,CCC,177.719869
54,0,39,4e867675-48c9-471c-8cc1-5a73277be6d7,0,14,25,95,COURT STREET,MONTELLO STREET,SR27 NB,SR28 NB,COURT STREET,MONTELLO STREET,SR27 NB,SR28 NB,OLD COLONY PLANNING COUNCIL,BROCKTON,5,{58DFFB22-8C93-43E2-8748-1C863EACD61B},,,,,243.297252, ,Y,OCPC,243.297188
55,0,14,b57d12ae-6673-4a9d-adcc-e650c7c67a2d,0,5,9,34,BEACH ROAD,BEACH STREET EXTENSION,N3927,L201239,BEACH ROAD,BEACH STREET,N3927,N3927,MARTHA'S VINEYARD COMMISSION,TISBURY,5,{A343A490-65B6-4A65-A35D-0C2B1C8C328A},,,,,296.896209, ,Y,MVC,296.896172
56,0,21,bbd22078-8338-440b-b6e3-b92fcf7b03bc,0,7,14,49,WORCESTER ROAD, ,SR9 EB, ,WORCESTER ROAD, ,SR9 EB, ,METROPOLITAN AREA PLANNING COUNCIL,FRAMINGHAM,3,{731F1C04-8306-42CE-A92D-67D63C18AAE5},,,,,198.361279, ,Y,MAPC,198.361298
57,0,20,6bbc4df8-c545-4b7f-a549-45f2fbaebb65,0,9,11,56,HIGH STREET,CABOT STREET,N026 NB,N4911,HIGH STREET,CABOT STREET,N026 NB,N4911,PIONEER VALLEY PLANNING COMMISSION,HOLYOKE,2,{4DBE8D68-C973-4A56-817C-B3CA4766FED4},,,,,170.740412, ,Y,PVPC,170.740365
58,0,21,738e450f-4ee7-4046-bd9d-d2d983bbf0de,0,8,13,53,CHELMSFORD STREET,WESTFORD STREET,SR110 EB,SR3A NB,CHELMSFORD STREET,WESTFORD STREET,SR110 EB,SR3A NB,NORTHERN MIDDLESEX COUNCIL OF GOVERNMENTS,LOWELL,4,{E25D430B-C7AD-4E44-BAF1-6E3A34DD6C22},,,,,187.823516, ,Y,NMCOG,187.823458
59,0,21,90a64f77-9520-4a6e-822c-5711a47174ca,0,7,14,49,COCHITUATE ROAD, ,SR30 EB,L032478,COCHITUATE ROAD,BURR STREET,SR30 EB,N2780,METROPOLITAN AREA PLANNING COUNCIL,FRAMINGHAM,3,{F62B0ED0-2C2C-4611-8B30-F52EA785BCCE},,,,,236.05339, ,Y,MAPC,236.053529
60,0,57,e9784b4b-f547-41fd-8eb3-a6935392bd9c,0,4,53,73,WASHINGTON STREET,MICA LANE,SR16 EB,L159289,WASHINGTON STREET,MICA LANE,SR16 EB,L159289,METROPOLITAN AREA PLANNING COUNCIL,WELLESLEY,6,{ABA140E3-DAF6-4078-9AB7-A3473E603ACF},,,,,313.760883, ,Y,MAPC,313.760872
61,0,29,c59189d7-7af6-40fd-8b67-8976a770414f,0,10,19,69,SOUTH MAIN STREET,DIVISION STREET,N5419,L210177,SOUTH MAIN STREET,DIVISION STREET,N5419,L210177,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,FALL RIVER,5,{92386F8E-1B58-4D9E-914A-9309A2DD7C94},,,,,301.890598, ,Y,SRPEDD,301.890738
62,0,44,a9559642-54d5-4271-86aa-89b6a8590849,0,11,33,88,INTERSTATE 495,RAMP-RT 495 SB TO RT 90,I495 SB,R13154,INTERSTATE 495,RAMP-RT 495 SB TO RT 90,I495 SB,R13154,METROPOLITAN AREA PLANNING COUNCIL,HOPKINTON,3,{4BFDAFF9-AC4F-4800-8AD9-6E63FE3EC857},,,,,156.880388, ,Y,MAPC,156.880337
63,0,24,474b654b-ee05-44d7-96cb-13ed84393cb0,0,9,15,60,INTERSTATE 495,RAMP-RT 495 NB TO BROAD ST,I495 NB,R13195,INTERSTATE 495,RAMP-RT 495 NB TO BROAD ST,I495 NB,R13195,MERRIMACK VALLEY PLANNING COMMISSION,MERRIMAC,4,{77380BC2-B6E1-4124-BC9B-09CF5F9D5F02},,,,,156.880381, ,Y,MVPC,156.88034
64,0,16,39d72aee-c0f9-4c3a-b893-da07d22b67c9,1,7,8,53,ALLEN STREET,TALMADGE DRIVE,N017 NB,L160895,ALLEN STREET,TALMADGE DRIVE,N017 NB,L160895,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{47492470-E167-4671-B920-B81417BE5DAE},,,,,181.650845, ,Y,PVPC,181.650855
65,0,45,f653a18f-bd06-4c6b-825e-bd4bd524c948,0,11,34,89,LOWER WESTFIELD ROAD,WHITING FARMS ROAD,N5117,N4909,LOWER WESTFIELD ROAD,WHITING FARMS ROAD,N5117,N4909,PIONEER VALLEY PLANNING COMMISSION,HOLYOKE,2,{95DB3741-A138-4DC2-B0E3-88CA6F54E849},,,,,243.980058, ,Y,PVPC,243.979976
66,0,22,99731eb2-6cb1-4aca-897a-31e903f58301,0,6,16,46,CHARLESGATE EAST,BEACON STREET, , ,CHARLESGATE EAST,BEACON STREET, , ,METROPOLITAN AREA PLANNING COUNCIL,BOSTON,6,{10680805-913B-4C02-8154-4C879EE8E04A},,,,,183.179404, ,Y,MAPC,183.179419
67,0,18,f3f996ef-6837-4a34-ae64-e10367989607,0,8,10,50,NORTH MONTELLO STREET,FIELD STREET,SR28 NB,N4694,NORTH MONTELLO STREET,FIELD STREET,SR28 NB,N4694,OLD COLONY PLANNING COUNCIL,BROCKTON,5,{3A7BD1CB-AE43-49CA-997B-6A76FBDDB424},,,,,193.510257, ,Y,OCPC,193.510282
68,0,33,9e9aee95-00cd-4209-93dc-abfed2f8c8f7,1,11,21,86,INTERSTATE 195,RAMP-RT 195 EB TO RT 88 SB,I195 EB,R14018,INTERSTATE 195,RAMP-RT 195 EB TO RT 88 SB,I195 EB,R14018,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,WESTPORT,5,{0EA5AB0C-DDF4-401D-A0F2-72706B9B857D},,,,,160.631164, ,Y,SRPEDD,160.631226
