TRIP_ID,PICKUPTIME,PICKUPADDRESS,PICKUPLONG,PICKUPLAT
77033,41216.84028,Unnamed Road Boston Ma,-71.022345,42.365302
79497,41216.98056,94 Harvard Ave Boston Ma 02134,-71.132148,42.353303
82001,41217.06736,210 Harvard Ave Boston Ma 02134,-71.13056,42.349808
84527,41216.98819,132 Brookline Ave Boston Ma 02215,-71.100657,42.345385
87006,41217.025,I-93 @ Unnamed Road Boston Ma,-71.053363,42.360637
89538,41217.45347,100 Stuart St Boston Ma 02116,-71.0653,42.351082
92063,41217.11389,Harvard Ave Boston Ma,-71.132013,42.35276
94564,41217.74306,Commonwealth Ave Boston Ma,-71.118602,42.351328
97122,41218.70625,60 Forsyth St Boston Ma,-71.090518,42.339438
99665,41217.77222,110 Causeway St Boston Ma 02114,-71.061345,42.36538
102152,41216.55069,Commonwealth Ave @ Brookline Ave Boston Ma 02215,-71.096977,42.348698
104654,41217.07917,1070 Boylston St Boston Ma 02215,-71.087983,42.347257
107271,41217.9375,60 N073 Boston Ma,-71.114553,42.300642
109799,41217.69028,Unnamed Road Boston Ma,-71.019689,42.363784
112343,41217.575,91 Exeter St Boston Ma 02116,-71.078772,42.348383
114924,41219.41458,160 Chestnut St Boston Ma 02108,-71.0725,42.356545
117393,41218.57917,450 Boylston St Boston Ma 02116,-71.073177,42.351142
119895,41219.99792,80 Charles St Boston Ma 02114,-71.070467,42.358118
122462,41216.93889,890 Boylston St Boston Ma 02199,-71.083882,42.348355
124967,41219.94514,58 Cambridge St Boston Ma 02134,-71.118867,42.360767
127517,41218.62847,140 Oliver St Boston Ma 02110,-71.052573,42.355743
130018,41219.66319,720 E Broadway Boston Ma 02127,-71.036475,42.335555
132540,41219.40417,High St Boston Ma,-71.052945,42.356012
135050,41219.41667,49 Congress St Boston Ma,-71.057258,42.360282
137562,41218.43889,17 Avery St Boston Ma 02111,-71.063292,42.353255
140111,41219.65972,Commonwealth Ave @ Beacon St Boston Ma 02215,-71.09615,42.348898
142567,41219.45694,Tremont St Boston Ma,-71.061955,42.356607
145058,41221.71806,144 Dartmouth St Boston Ma 02116,-71.075942,42.3475
147570,41217.70694,10 Brookline Ave Boston Ma 02215,-71.097093,42.348663
150015,41219.81597,60 Seaport Ln Boston Ma 02210,-71.04135,42.349083
152481,41220.35694,20 State St Boston Ma 02109,-71.057402,42.35896
154880,41219.91181,273 Clarendon St Boston Ma 02116,-71.076565,42.353485
157349,41221.73542,49 Fargo St Boston Ma 02210,-71.043632,42.346148
159829,41220.43403,103 Cambridge St Boston Ma 02114,-71.06266,42.361077
162263,41220.72014,710 Atlantic Ave Boston Ma 02111,-71.055892,42.351528
164708,41221.59861,Harcourt St Boston Ma,-71.079125,42.346833
167125,41220.48681,Unnamed Road Boston Ma,-71.046795,42.35358
169547,41221.62569,Unnamed Road Boston Ma,-71.120262,42.364723
172020,41220.80903,439 Atlantic Ave Boston Ma 02110,-71.052627,42.354145
174500,41219.55,230 Ipswich St Boston Ma,-71.095542,42.345847
176922,41223.52153,I-90 @ Unnamed Road Boston Ma,-71.08059,42.347878
179395,41221.28403,190 Dartmouth St Boston Ma 02116,-71.076753,42.348827
181861,41220.62569,30 North St Boston Ma 02113,-71.056155,42.36081
184303,41222.37639,70 Eliot St Boston Ma 02116,-71.067795,42.351395
186725,41219.01597,Unnamed Road Boston Ma,-71.018822,42.369023
189153,41219.62639,80 Causeway St Boston Ma 02114,-71.062432,42.364903
191546,41222.90694,549 Tremont St Boston Ma 02116,-71.071638,42.344037
193948,41223,I-90 @ Unnamed Road Boston Ma,-71.079313,42.34779
196353,41222.58264,81 Beacon St Boston Ma,-71.071027,42.35581
198784,41222.35486,1390 Boylston St Boston Ma 02215,-71.10059,42.343762
201287,41221.89167,80 Harvard Pl Boston Ma 02108,-71.059127,42.357305
203727,41219.83542,695 Atlantic Ave Boston Ma 02111,-71.055917,42.351812
206266,41221.39861,State St Boston Ma,-71.053343,42.359395
208699,41221.67569,40 Trilling Way Boston Ma 02210,-71.039847,42.34823
211185,41223.03125,Unnamed Road Boston Ma,-71.081402,42.34896
213640,41222.6625,260 Franklin St Boston Ma 02110,-71.05392,42.356422
216067,41221.71806,732 Atlantic Ave Boston Ma 02111,-71.056225,42.351173
218499,41224.96736,Unnamed Road Boston Ma,-71.018677,42.363102
220948,41222.80556,North St Boston Ma,-71.056215,42.360428
223409,41222.44653,720 Atlantic Ave Boston Ma 02111,-71.056095,42.351245
225885,41222.29444,103 Causeway St Boston Ma 02114,-71.061782,42.365335
228249,41221.85347,Park St Boston Ma,-71.063007,42.357688
230665,41221.70069,Back St Boston Ma,-71.090375,42.351272
233081,41222.99375,117 Water St Boston Ma 02109,-71.054922,42.357965
235546,41221.82361,2 Avenue De Lafayette Boston Ma 02111,-71.061442,42.353603
238002,41221.85,Water St Boston Ma,-71.054788,42.357895
240478,41226.07292,Unnamed Road Boston Ma,-71.022083,42.365545
243015,41222.74931,522 Tremont St Boston Ma 02116,-71.070277,42.34482
245486,41221.40069,2 Arlington St Boston Ma,-71.072465,42.355303
247965,41221.82778,250 Franklin St Boston Ma 02110,-71.054337,42.356428
250453,41222.97083,140 Berkeley St Boston Ma 02116,-71.071777,42.348817
252885,41223.4625,332 Commercial St Boston Ma 02109,-71.051068,42.36576
255309,41221.62569,389 Summer St Boston Ma,-71.044198,42.347098
257854,41223.00486,57 Brookline Ave Boston Ma 02215,-71.098487,42.34733
260371,41223.40556,460 Beacon St Boston Ma 02115,-71.087947,42.351267
262865,41224.09028,Unnamed Road Boston Ma,-71.055943,42.362628
265451,41224.09653,927 Boylston St Boston Ma 02199,-71.085335,42.347845
267993,41224.49931,Unnamed Road Boston Ma,-71.060765,42.32904
270465,41227.53542,140 Westland Ave Boston Ma 02115,-71.088795,42.343777
272968,41226.84861,Huntington Ave @ I-90 Boston Ma,-71.079295,42.347443
275429,41224.71806,198 Clarendon St Boston Ma 02116,-71.074793,42.349742
277911,41224.64236,70 N073 Boston Ma,-71.114525,42.300617
280340,41224.6875,480 Boylston St Boston Ma 02116,-71.074027,42.351217
282888,41224.92778,81 Cambridge St Boston Ma,-71.061817,42.360957
285403,41225.45556,Beacon St @ Commonwealth Ave Boston Ma,-71.097665,42.348718
287897,41228.64514,Unnamed Road Boston Ma,-71.081818,42.349247
290372,41224.61181,50 Board Aly Boston Ma 02113,-71.05489,42.363178
292870,41225.83819,Unnamed Road Boston Ma,-71.040893,42.348993
295386,41223.29583,60 N073 Boston Ma,-71.114577,42.300667
297887,41223.76736,Commonwealth Ave Boston Ma,-71.130719,42.350451
300344,41224.66736,105 Revere St Boston Ma 02114,-71.070697,42.359492
302795,41226.32014,132 Massachusetts Ave Boston Ma 02115,-71.08784,42.347157
305323,41225.85,267 Commonwealth Ave Boston Ma,-71.08459,42.35041
307782,41224.65278,Unnamed Road Boston Ma,-71.098635,42.341907
310226,41222.91597,500 Beacon St Boston Ma 02215,-71.089813,42.350865
312677,41224.10278,392 Huntington Ave Boston Ma,-71.090855,42.339727
315198,41226.94028,Columbus Ave @ Unnamed Road Boston Ma 02116,-71.071895,42.34836
317679,41226.4375,90 Joy St Boston Ma 02114,-71.065038,42.361107
320236,41223.0125,91 Exeter St Boston Ma 02116,-71.078887,42.348358
322698,41225.53194,I-90 @ Unnamed Road Boston Ma,-71.080018,42.347695
325189,41226.4125,200 Boylston St Boston Ma 02116,-71.068705,42.35272
327628,41225.81458,1220 Commonwealth Ave Boston Ma,-71.130905,42.350642
330059,41231.04236,71 Jersey St Boston Ma 02215,-71.097798,42.344497
332526,41227.71667,N351 Boston Ma,-71.021838,42.365663
335014,41226.94861,50 St James Ave Boston Ma 02116,-71.072907,42.350398
337495,41229.91528,Unnamed Road Boston Ma,-71.079972,42.34701
339907,41227.95694,690 Boylston St Boston Ma 02116,-71.079345,42.349547
342430,41224.125,780 Boylston St Boston Ma 02199,-71.081982,42.348847
344907,41228.33264,80 Cambridge Street Ave Boston Ma 02114,-71.070388,42.361612
347396,41228.29167,Unnamed Road Boston Ma,-71.04111,42.349068
349818,41227.39028,620 Commonwealth Ave Boston Ma,-71.103388,42.349507
352306,41226.55903,Unnamed Road Boston Ma,-71.048247,42.320325
354774,41225.725,Unnamed Road Boston Ma,-71.022763,42.365693
357197,41233.82431,Unnamed Road Boston Ma,-71.019163,42.369067
359621,41228.78681,30 Staniford St Boston Ma 02114,-71.063812,42.362712
362088,41230.90625,Charles St @ Cambridge St Boston Ma,-71.070582,42.361802
364526,41225.98403,190 Beach St Boston Ma 02111,-71.05669,42.35044
366991,41229.01458,260 Franklin St Boston Ma 02110,-71.054223,42.356473
369501,41226.72778,Huntington Ave @ I-90 Boston Ma,-71.077432,42.348595
371997,41228.98403,49 Fargo St Boston Ma 02210,-71.043662,42.346212
374496,41227.41806,Unnamed Road Boston Ma,-71.022662,42.365248
376988,41229.63542,10 Blossom St Boston Ma 02114,-71.06693,42.361462
379470,41229.64167,50 Chapman Pl Boston Ma,-71.060147,42.35756
381933,41227.59792,100 St James Ave Boston Ma 02116,-71.07451,42.349958
384326,41236.68889,170 Charles St Boston Ma 02114,-71.070923,42.360685
386789,41227.52014,Unnamed Road Boston Ma,-71.022315,42.365448
389226,41237.1125,94 Beacon St Boston Ma,-71.072415,42.355447
391733,41229.36944,175 Tremont St Boston Ma 02111,-71.064233,42.353208
394217,41223.95417,90 Tremont St Boston Ma 02108,-71.061203,42.357535
396684,41230.51806,610 E Broadway Boston Ma 02127,-71.039733,42.335628
399179,41227.8125,390 A St Boston Ma 02210,-71.048513,42.350322
401662,41227.81389,200 Tremont St Boston Ma 02116,-71.064642,42.352208
404124,41228.81181,I-90 @ Dartmouth St Boston Ma,-71.076352,42.347773
406577,41239.28056,720 Atlantic Ave Boston Ma 02111,-71.055917,42.351382
409053,41230.0875,943 Boylston St Boston Ma 02199,-71.08596,42.347851
411546,41229.84028,Commonwealth Ave @ Beacon St Boston Ma 02215,-71.096327,42.348752
414021,41230.81042,Unnamed Road Boston Ma,-71.018385,42.362925
416508,41229.10417,Unnamed Road Boston Ma,-71.018463,42.369045
418961,41228.66111,720 Atlantic Ave Boston Ma 02111,-71.056028,42.351378
421442,41240.31736,60 Midway St Boston Ma 02210,-71.051423,42.345615
423919,41231.45278,50 Commonwealth Ave Boston Ma 02116,-71.07414,42.352625
426334,41230.52292,830 Boylston St Boston Ma 02199,-71.082787,42.348513
428767,41240.71111,149 Dartmouth St Boston Ma 02116,-71.07627,42.347543
431236,41229.5125,130 Charles St Boston Ma 02114,-71.070777,42.359603
433751,41226.96528,Unnamed Road Boston Ma,-71.040928,42.348902
436216,41232.04583,730 E Broadway Boston Ma 02127,-71.03632,42.335678
438712,41227.97222,Unnamed Road Boston Ma,-71.018612,42.369148
441202,41224.93819,340 Newbury St Boston Ma 02116,-71.086385,42.348575
443760,41232.74931,70 Northern Ave Boston Ma 02210,-71.045413,42.352852
446250,41229.60625,50 Gloucester St Boston Ma 02115,-71.084028,42.3491
448675,41228.09306,20 Lagrange St Boston Ma 02116,-71.063363,42.351527
451193,41232.74583,Unnamed Road Boston Ma,-71.022922,42.365363
453716,41227.87292,144 Milk St Boston Ma 02109,-71.053273,42.358475
456141,41231.54236,Unnamed Road Boston Ma,-71.018537,42.369237
458597,41227.65625,28 Beacon St Boston Ma,-71.063592,42.357617
461079,41229.69861,180 Dartmouth St Boston Ma 02116,-71.076723,42.348498
463564,41233.83819,1300 Boylston St Boston Ma 02215,-71.097495,42.344555
466013,41230.84792,490 W Broadway Boston Ma 02127,-71.045948,42.335483
468571,41230.40417,Unnamed Road Boston Ma,-71.016907,42.36605
471118,41232.82083,North St Boston Ma,-71.05622,42.360638
473657,41230.59236,470 W Broadway Boston Ma 02127,-71.046233,42.335932
476106,41228.61597,760 Atlantic Ave Boston Ma 02111,-71.056428,42.350282
478644,41234.23125,250 Huntington Ave Boston Ma,-71.086405,42.341525
481189,41232.61389,Unnamed Road Boston Ma,-71.12037,42.364698
483661,41230.67083,90 Newhill Pl Boston Ma 02127,-71.035742,42.335722
486132,41231.04931,70 S Charles St Boston Ma 02116,-71.066678,42.350743
488657,41230.02639,270 Northern Ave Boston Ma 02210,-71.037983,42.348522
491153,41234.54653,50 Trilling Way Boston Ma 02210,-71.03962,42.34819
493659,41234.61736,70 Mckinley Sq Boston Ma 02109,-71.053272,42.359242
496191,41233.36042,30 Peterborough St Boston Ma 02215,-71.096022,42.344333
498700,41229.41875,Commonwealth Ave Boston Ma,-71.124512,42.352022
501235,41227.98958,1086 Commonwealth Ave Boston Ma,-71.124412,42.352335
503818,41232.80625,710 Atlantic Ave Boston Ma 02111,-71.056142,42.35154
506380,41230.72917,30 Dalton St Boston Ma 02115,-71.08434,42.345638
508899,41239.36319,10 13th St Boston Ma 02129,-71.051972,42.377875
511424,41229.71667,840 Boylston St Boston Ma 02199,-71.082987,42.34846
513998,41236.87639,50 Cross St Boston Ma 02113,-71.055868,42.362748
516489,41234.48819,60 N North Grove St Boston Ma,-71.068573,42.361943
518968,41231.72569,760 Atlantic Ave Boston Ma 02111,-71.056602,42.350325
521486,41234.54653,100 Stuart St Boston Ma 02116,-71.06521,42.351222
523985,41230.02292,Commonwealth Ave @ Beacon St Boston Ma 02215,-71.096202,42.348638
526507,41231.72778,410 Summer St Boston Ma,-71.043775,42.346722
529109,41232.37292,50 Atlantic Ave Boston Ma 02110,-71.050965,42.363032
531784,41237.71042,30 Park Plz Boston Ma 02116,-71.069719,42.351508
534337,41240.70694,Essex St Boston Ma,-71.057533,42.352243
536819,41236.72083,570 E Broadway Boston Ma 02127,-71.041413,42.335523
539375,41235.39097,1080 Boylston St Boston Ma 02215,-71.08792,42.347097
541939,41233.85069,Harcourt St Boston Ma,-71.079582,42.346948
544456,41229.90347,143 Tremont St Boston Ma 02111,-71.06288,42.355527
546996,41235.97431,103 Causeway St Boston Ma 02114,-71.061798,42.365295
549529,41238.67639,Unnamed Road Boston Ma,-71.022488,42.365522
552045,41230.94375,840 Boylston St Boston Ma 02199,-71.082987,42.348757
554524,41232.81875,70 N073 Boston Ma,-71.114588,42.300625
557093,41236.7125,North St Boston Ma,-71.056185,42.360498
559596,41230.35347,104 Causeway St Boston Ma 02114,-71.06169,42.365278
562202,41242.67569,Unnamed Road Boston Ma,-71.022595,42.365505
564691,41233.07708,210 Purchase St Boston Ma,-71.054617,42.354053
567139,41232.42083,400 Atlantic Ave Boston Ma 02110,-71.050877,42.355683
569597,41232.35972,30 Kilby Pl Boston Ma 02109,-71.0554,42.358367
572086,41233.90972,Unnamed Road Boston Ma,-71.081407,42.345977
574655,41232.67847,Unnamed Road Boston Ma,-71.040623,42.348838
577186,41230.9125,60 N073 Boston Ma,-71.114542,42.300642
579678,41237.75972,Arlington St Boston Ma,-71.070977,42.353225
582156,41238.07292,20 Lansdowne St Boston Ma 02215,-71.095142,42.347248
584667,41238.03472,20 Kilby St Boston Ma 02109,-71.056163,42.358608
587168,41231.21389,39 Kilmarnock St Boston Ma 02215,-71.099745,42.343427
589665,41230.08056,1090 Boylston St Boston Ma 02215,-71.08825,42.347105
592184,41238.72917,Unnamed Road Boston Ma,-71.0186,42.369265
594675,41232.67986,30 Pemberton Sq Boston Ma 02108,-71.06073,42.358467
597194,41239.06181,Unnamed Road Boston Ma,-71.018103,42.36237
599698,41234.8125,84 Midway St Boston Ma 02210,-71.050912,42.346292
602269,41241.46806,420 Summer St Boston Ma,-71.043643,42.346538
604742,41238.67083,Unnamed Road Boston Ma,-71.016952,42.366158
607228,41239.06181,Avenue Of The Arts Boston Ma,-71.08613,42.341592
609860,41240.51875,340 Columbus Ave Boston Ma 02116,-71.075173,42.34608
612392,41241.96806,Unnamed Road Boston Ma,-71.103875,42.346508
614991,41234.72986,210 Longwood Ave Boston Ma,-71.10232,42.337097
617575,41241.34375,Commonwealth Ave @ Massachusetts Ave Boston Ma 02215,-71.089083,42.348883
620138,41238.71042,Unnamed Road Boston Ma,-71.022548,42.36542
622691,41238.85208,Unnamed Road Boston Ma,-71.01716,42.36605
625181,41241.74236,1070 Boylston St Boston Ma 02215,-71.087922,42.347132
627724,41236.29722,Commonwealth Ave @ Brookline Ave Boston Ma 02215,-71.096917,42.348698
630269,41232.61042,168 Northern Ave Boston Ma 02210,-71.043133,42.35018
632711,41237.10625,98 Ward Ct Boston Ma 02127,-71.053713,42.329957
635212,41236.97778,30 St Germain St Boston Ma 02115,-71.086184,42.345854
637744,41236.87083,North St Boston Ma,-71.056418,42.360398
640257,41237.0125,165 Northern Ave Boston Ma 02210,-71.042957,42.350693
642700,41243.68889,N380 Boston Ma,-71.046783,42.352482
645122,41233.39792,Commonwealth Ave @ Beacon St Boston Ma 02215,-71.096763,42.348722
647586,41243.92361,627 Beacon St Boston Ma 02215,-71.095185,42.349378
650071,41242.8375,600 Washington St Boston Ma 02135,-71.167437,42.350685
652536,41243.52569,250 Hemenway St Boston Ma 02115,-71.091833,42.339783
655004,41243.09792,900 Boylston St Boston Ma 02199,-71.084284,42.348311
657532,41242.78125,North St Boston Ma,-71.056385,42.36036
660033,41237.74444,1300 Boylston St Boston Ma 02215,-71.097512,42.344607
662548,41238.41111,4 Deerfield St Boston Ma 02215,-71.097265,42.349048
665067,41241.73333,30 Kilby Pl Boston Ma 02109,-71.05537,42.358228
667541,41241.81875,70 Post Office Sq Boston Ma 02109,-71.055828,42.357152
670011,41241.92431,340 Huntington Ave Boston Ma,-71.08892,42.340473
672491,41241.76944,1300 Boylston St Boston Ma 02215,-71.097572,42.344537
675087,41238.85972,Tremont St Boston Ma,-71.06232,42.356352
677629,41239.50833,736 Atlantic Ave Boston Ma 02111,-71.056205,42.35084
680136,41234.63542,1254 Boylston St Boston Ma 02215,-71.09528,42.345243
682593,41239.72153,830 Boylston St Boston Ma 02199,-71.082825,42.34856
685058,41239.35139,Huntington Ave Boston Ma,-71.099867,42.335912
687581,41240.42014,Unnamed Road Boston Ma,-71.02211,42.366383
690044,41239.74931,180 Cambridge St Boston Ma 02114,-71.065338,42.361265
692515,41243.47569,50 Francis St Boston Ma 02215,-71.107157,42.335672
694949,41240.44583,224 Berkeley St Boston Ma 02116,-71.073072,42.351147
697354,41241.06042,2 Bosworth St Boston Ma 02108,-71.060965,42.357232
699812,41237.99375,840 Boylston St Boston Ma 02199,-71.082877,42.34852
702215,41240.32917,170 Peterborough St Boston Ma 02215,-71.101113,42.342633
704709,41240.41667,130 Franklin St Boston Ma 02110,-71.056563,42.355515
707150,41242.49097,30 N North Grove St Boston Ma,-71.068602,42.361548
709664,41242.18333,800 Washington St Boston Ma 02111,-71.064235,42.34954
712133,41239.84236,2 Arlington St Boston Ma,-71.072277,42.355305
714572,41240.82778,1 River St Boston Ma,-71.069877,42.356143
717013,41240.78333,260 Hanover St Boston Ma 02113,-71.054625,42.363553
719461,41243.53333,Unnamed Road Boston Ma,-71.018365,42.369385
721876,41241.85556,60 Sullivan Pl Boston Ma,-71.056692,42.354958
724378,41240.77917,830 Boylston St Boston Ma 02199,-71.082678,42.348343
726775,41242.85625,175 Tremont St Boston Ma 02111,-71.064345,42.353345
729179,41241.74792,N380 Boston Ma,-71.039848,42.348505
731660,41241.8375,830 Boylston St Boston Ma 02199,-71.082797,42.348585
734148,41241.94375,94 Causeway St Boston Ma 02114,-71.062042,42.36504
736523,41241.87083,139 Dartmouth St Boston Ma 02116,-71.07566,42.347178
738942,41243.36181,480 Upton St Boston Ma 02118,-71.073168,42.343068
741427,41238.01806,870 Boylston St Boston Ma 02199,-71.083473,42.348283
743792,41242.98194,720 E Broadway Boston Ma 02127,-71.036525,42.335563
746251,41242.92361,Unnamed Road Boston Ma,-71.022565,42.365223
748694,41243.77222,10 N Anderson St Boston Ma,-71.067642,42.36141
751119,41242.05625,850 Boylston St Boston Ma 02199,-71.083288,42.34871
753560,41240.97778,60 N073 Boston Ma,-71.114597,42.300665
756064,41215.78125,120 Brighton Ave Boston Ma,-71.131788,42.352897
758529,41216.84931,700 E Broadway Boston Ma 02127,-71.037273,42.335683
761031,41220.18958,60 State St Boston Ma 02109,-71.05675,42.358895
763435,41222.74722,30 S Charles St Boston Ma 02116,-71.067193,42.351562
765940,41225.08403,271 Hanover St Boston Ma 02113,-71.054545,42.363687
768374,41228.38542,Unnamed Road Boston Ma,-71.082805,42.348862
770841,41230.80208,Unnamed Road Boston Ma,-71.019153,42.362555
773366,41234.01667,110 Dartmouth St Boston Ma 02116,-71.075447,42.346212
775904,41238.54236,Huntington Ave @ I-90 Boston Ma,-71.078908,42.347163
778364,41241.84306,710 Boylston St Boston Ma 02116,-71.079922,42.349385
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
