TRIP_ID,DROPTIME,DROPADDRESS,DROPLONG,DROPLAT
169386,41189.92986,Unnamed Road Boston Ma,-71.064457,42.363595
172646,41188.92569,60 Park Sq Boston Ma 02116,-71.067382,42.35102
175842,41190.75,127 St Botolph St Boston Ma 02115,-71.081825,42.343895
179173,41188.86736,250 Marlborough St Boston Ma 02116,-71.082243,42.3519
182322,41190.81667,800 Washington St Boston Ma 02111,-71.063862,42.349493
185739,41194.54306,Harvard Way Boston Ma,-71.123452,42.365567
188988,41189.11875,584 Southampton St Boston Ma 02127,-71.057365,42.329522
192206,41187.26458,Unnamed Road Boston Ma,-71.019095,42.36906
195286,41188.01875,600 E Broadway Boston Ma 02127,-71.040118,42.33551
198481,41191.87431,190 Bedford St Boston Ma 02111,-71.057885,42.353318
201871,41191.66319,480 Beacon St Boston Ma 02115,-71.088963,42.350983
204941,41196.46181,98 Huntington Ave Boston Ma,-71.079358,42.34718
208181,41188.98681,110 Canal St Boston Ma 02114,-71.059808,42.364545
211347,41195.91111,140 Gainsborough St Boston Ma 02115,-71.088855,42.342407
214478,41192.75417,152 Charles St Boston Ma 02114,-71.07091,42.360175
217674,41190.05625,520 Park Dr Boston Ma 02215,-71.105597,42.347627
220880,41193.46597,240 A St Boston Ma 02210,-71.051077,42.34706
224158,41190.42778,780 Atlantic Ave Boston Ma 02111,-71.056845,42.34983
227301,41192.40625,Unnamed Road Boston Ma,-71.052155,42.377933
230612,41193.24236,Unnamed Road Boston Ma,-71.017333,42.36639
233720,41190.86042,Unnamed Road Boston Ma,-71.056425,42.350178
236949,41198.46181,5 Staniford St Boston Ma 02114,-71.0637,42.361392
240180,41192.93472,30 Long Wharf Boston Ma 02110,-71.050845,42.359967
243396,41198.80556,1300 Boylston St Boston Ma 02215,-71.097635,42.344532
246661,41191.67708,Unnamed Road Boston Ma,-71.01705,42.366328
249795,41202.57708,182 Northern Ave Boston Ma 02210,-71.041852,42.35004
252890,41193.97986,40 Park Plz Boston Ma 02116,-71.070133,42.351242
256066,41192.78472,1250 Commonwealth Ave Boston Ma,-71.13223,42.35
259270,41193.93125,130 South St Boston Ma 02111,-71.057423,42.350748
262536,41194.03194,260 Northern Ave Boston Ma 02210,-71.038768,42.348757
265696,41193.66667,49 Fargo St Boston Ma 02210,-71.04366,42.346175
268828,41192.86944,740 Tremont St Boston Ma 02118,-71.078815,42.340152
271952,41187.54722,25 Huntington Ave Boston Ma,-71.077473,42.348693
275248,41194.33889,16 Arlington St Boston Ma,-71.070962,42.352438
278486,41188.89028,260 Northern Ave Boston Ma 02210,-71.038783,42.348757
281743,41193.05903,850 Washington St Boston Ma 02111,-71.063993,42.348827
285060,41199.28264,Unnamed Road Boston Ma,-71.017265,42.366942
288078,41194.66111,Arlington St Boston Ma,-71.071295,42.353023
291227,41193.40972,252 Summer St Boston Ma 02210,-71.051128,42.350547
294463,41194.3625,150 Milton Pl Boston Ma 02110,-71.056998,42.353692
297680,41202.03542,1001 Commonwealth Ave Boston Ma,-71.121067,42.351867
300993,41202.28681,Unnamed Road Boston Ma,-71.017178,42.366228
304450,41195.11597,50 Lancaster St Boston Ma 02114,-71.062462,42.36406
307741,41194.99028,20 Union St Boston Ma,-71.056965,42.360697
310997,41195.08264,201 Park Dr Boston Ma,-71.100433,42.341179
314185,41195.81389,120 Revere St Boston Ma 02114,-71.070958,42.35947
317412,41195.99236,1183 Commonwealth Ave Boston Ma,-71.129028,42.350678
320798,41192.63194,270 Essex St Boston Ma 02111,-71.056112,42.351965
324045,41203.50417,60 Garrison St Boston Ma 02116,-71.079255,42.345713
327425,41197.68403,510 Boylston St Boston Ma 02116,-71.074767,42.350702
330787,41195.94792,280 Milk St Boston Ma 02109,-71.051287,42.35874
334206,41194.68611,270 Essex St Boston Ma 02111,-71.056107,42.351938
337792,41208.59236,Unnamed Road Boston Ma,-71.019475,42.364458
341001,41198.37847,40 Tremont St Boston Ma,-71.059955,42.35892
344219,41197.36319,Commonwealth Ave @ Beacon St Boston Ma 02215,-71.096625,42.34872
347389,41197.72431,1087 Commonwealth Ave Boston Ma,-71.124385,42.352182
350579,41194.98611,53 Fargo St Boston Ma 02210,-71.043552,42.346113
353768,41203.01806,50 Buswell St Boston Ma 02215,-71.10598,42.34741
357137,41198.33542,190 Federal St Boston Ma 02110,-71.056318,42.353337
360407,41194.61458,400 Summer St Boston Ma,-71.043783,42.347005
363520,41203.69861,150 Devonshire St Boston Ma 02110,-71.05727,42.356457
366681,41197.71458,30 St James Ave Boston Ma 02116,-71.071962,42.350345
370044,41192.71181,70 St Germain St Boston Ma 02115,-71.084988,42.345867
373221,41193.48889,30 Black Falcon Ave Boston Ma 02210,-71.031663,42.344068
376537,41198.325,30 Kenmore St Boston Ma 02215,-71.09503,42.348383
379860,41213.12778,437 Atlantic Ave Boston Ma 02110,-71.052352,42.354213
383092,41195.74653,Commonwealth Ave @ Massachusetts Ave Boston Ma,-71.088915,42.349242
386262,41198.73125,Columbus Ave @ Unnamed Road Boston Ma 02116,-71.072615,42.34801
389408,41200.575,Unnamed Road Boston Ma,-71.068658,42.362362
392665,41199.67986,Unnamed Road Boston Ma,-71.041225,42.349013
395835,41196.58472,30 North St Boston Ma 02113,-71.056,42.36086
398935,41208.52361,Unnamed Road Boston Ma,-71.06069,42.352208
402153,41199.96667,Boylston St @ Eliot St Boston Ma 02116,-71.068488,42.352085
405404,41196.74167,630 Massachusetts Ave Boston Ma,-71.077268,42.336665
408550,41196.06597,13 New Chardon St Boston Ma 02114,-71.062515,42.361998
411795,41209.23194,3770 Washington St Boston Ma 02130,-71.113252,42.300347
414955,41200.43194,10 North St Boston Ma 02113,-71.05606,42.360717
418102,41200.58333,50 Queensberry St Boston Ma 02215,-71.097403,42.342782
421272,41201.24097,760 Atlantic Ave Boston Ma 02111,-71.056562,42.350328
424348,41200.94792,523 Tremont St Boston Ma 02116,-71.070365,42.344833
427707,41200.67569,63 Kilby St Boston Ma 02109,-71.055037,42.357603
430952,41201.31181,46 Dalton St Boston Ma 02115,-71.085265,42.346538
434163,41201.47292,830 Boylston St Boston Ma 02199,-71.082717,42.348582
437332,41201.85625,140 St James Ave Boston Ma 02116,-71.076465,42.349481
440354,41196.84514,438 Atlantic Ave Boston Ma 02110,-71.052485,42.354208
443621,41198,50 Trilling Way Boston Ma 02210,-71.039662,42.348122
446890,41201.85833,160 Myrtle St Boston Ma 02114,-71.069275,42.35932
450139,41201.53542,Unnamed Road Boston Ma,-71.021555,42.36496
453502,41203.39375,80 Haviland St Boston Ma 02115,-71.089158,42.346232
456867,41201.58333,50 Trilling Way Boston Ma 02210,-71.03964,42.347903
460088,41201.62847,20 W Broadway Boston Ma 02127,-71.056723,42.342705
463375,41202.78889,194 Park Dr Boston Ma,-71.099857,42.340868
466687,41201.92431,437 Atlantic Ave Boston Ma 02110,-71.052367,42.354192
469902,41202.12431,302 Brookline Ave Boston Ma 02215,-71.103627,42.342507
473066,41195.93125,260 Newbury St Boston Ma 02116,-71.083052,42.349507
476150,41202.79653,143 Berkeley St Boston Ma 02116,-71.071935,42.348922
479347,41202.10972,124 Causeway St Boston Ma 02114,-71.060915,42.365608
482539,41193.35347,271 Congress St Boston Ma 02210,-71.053398,42.353438
485949,41191.67986,40 Park Plz Boston Ma 02116,-71.070018,42.35129
489334,41203.8125,292 Dartmouth St Boston Ma 02116,-71.078115,42.35141
492577,41193.60069,90 School St Boston Ma 02108,-71.06011,42.358103
495880,41196.4625,180 Mount Vernon St Boston Ma 02125,-71.048165,42.320322
499107,41202.98264,190 Canal St Boston Ma 02114,-71.061217,42.365407
502310,41204.68611,Unnamed Road Boston Ma,-71.021693,42.36494
505659,41195.8125,124 Cambridge St Boston Ma 02114,-71.06322,42.36136
508969,41204.17569,Unnamed Road Boston Ma,-71.021755,42.365027
512132,41202.58611,496 Massachusetts Ave Boston Ma,-71.08044,42.339603
515246,41192.45625,97 Congress St Boston Ma 02109,-71.056982,42.359755
518494,41194.20903,Unnamed Road Boston Ma,-71.017208,42.366525
521732,41200.76528,90 Fairfield St Boston Ma 02116,-71.081765,42.349108
525062,41204.85139,Unnamed Road Boston Ma,-71.120333,42.365033
528318,41200.54028,90 Boates Ct Boston Ma 02110,-71.051598,42.356615
531518,41204.94861,268 Congress St Boston Ma 02110,-71.053398,42.353517
534687,41205.53542,230 Clarendon St Boston Ma 02116,-71.075682,42.351713
537926,41195.04028,610 Boylston St Boston Ma 02116,-71.077173,42.350185
541168,41205.95903,110 Beach St Boston Ma 02111,-71.057813,42.350625
544306,41207.34028,30 Avenue Louis Pasteur Boston Ma 02115,-71.101362,42.33988
547478,41206.5,70 16th St Boston Ma 02129,-71.049578,42.378008
550617,41194.92083,Unnamed Road Boston Ma,-71.080603,42.348958
553817,41208.62847,North St Boston Ma,-71.056642,42.360253
556992,41207.35278,Unnamed Road Boston Ma,-71.02517,42.3695
560174,41207.53333,Unnamed Road Boston Ma,-71.01705,42.366757
563300,41207.64306,60 Forsyth St Boston Ma,-71.090552,42.339377
566635,41201.75,Unnamed Road Boston Ma,-71.06218,42.3537
569917,41207.69306,Unnamed Road Boston Ma,-71.021489,42.364852
573198,41201.66458,Avenue Of The Arts Boston Ma,-71.086398,42.341752
576386,41208.44306,430 Massachusetts Ave Boston Ma 02118,-71.082307,42.341027
579522,41209.93194,110 Boylston St Boston Ma 02116,-71.065497,42.352415
582803,41208.75833,170 Tremont St Boston Ma 02111,-71.064048,42.353737
586061,41208.86319,140 St James Ave Boston Ma 02116,-71.076447,42.349493
589272,41208.36736,110 Belvidere St Boston Ma 02115,-71.082638,42.345842
592520,41209.14514,960 Commonwealth Ave Boston Ma,-71.119003,42.351683
595879,41209.26736,Unnamed Road Boston Ma,-71.017343,42.366288
599334,41202.74861,270 Friend St Boston Ma 02114,-71.061453,42.364875
602494,41210.4,53 Fargo St Boston Ma 02210,-71.043542,42.346127
605845,41201.67778,Unnamed Road Boston Ma,-71.084342,42.346353
609359,41208.83542,410 Parker St Boston Ma 02120,-71.092515,42.338768
612518,41203.00278,Kenmore St Boston Ma,-71.09495,42.349027
615704,41196.56181,35 Exeter St Boston Ma 02116,-71.07976,42.350047
618959,41209.58264,Unnamed Road Boston Ma,-71.052448,42.354453
622395,41210.02708,60 Hemenway St Boston Ma 02115,-71.089658,42.344983
625833,41208.79722,190 Harvard Ave Boston Ma 02134,-71.131188,42.35073
629172,41200.33125,200 Tremont St Boston Ma 02116,-71.064573,42.352153
632426,41202.54097,391 Summer St Boston Ma,-71.04402,42.347088
635677,41210.69444,160 Tremont St Boston Ma 02111,-71.06371,42.354733
638990,41203.89514,90 School St Boston Ma 02108,-71.06018,42.358008
642365,41210.82569,Commonwealth Ave @ Kenmore St Boston Ma 02215,-71.095323,42.34887
645734,41210.97222,90 Purchase St Boston Ma,-71.051787,42.355633
649021,41210.79236,Park Plz Boston Ma,-71.067847,42.351908
652327,41197.73472,20 Blossom St Boston Ma 02114,-71.066777,42.361692
655416,41209.81111,1190 Commonwealth Ave Boston Ma 02134,-71.12961,42.350287
658626,41210.83542,175 Tremont St Boston Ma 02111,-71.06425,42.353177
661922,41211.55069,260 Dartmouth St Boston Ma 02116,-71.077523,42.35026
665302,41199.925,150 St James Ave Boston Ma 02116,-71.076615,42.349412
668495,41210.34722,Unnamed Road Boston Ma,-71.019448,42.362747
671645,41213.65139,Unnamed Road Boston Ma,-71.021668,42.364955
674852,41213.70139,190 Clarendon St Boston Ma 02116,-71.074703,42.34929
677942,41201.02083,369 Dorchester St Boston Ma 02127,-71.055657,42.330365
681100,41214.00486,535 Commonwealth Ave Boston Ma,-71.096177,42.349183
684207,41206.76181,Unnamed Road Boston Ma,-71.017173,42.366867
687493,41206.58472,426 Atlantic Ave Boston Ma 02110,-71.051145,42.354958
690802,41202.38333,8 Central Wharf Boston Ma 02110,-71.050765,42.359197
693941,41205.4375,Unnamed Road Boston Ma,-71.019268,42.369075
697164,41207.60625,340 Huntington Ave Boston Ma,-71.088738,42.340568
700375,41207.80139,20 South Point Dr Boston Ma 02125,-71.039865,42.317197
703641,41208.83542,380 A St Boston Ma 02210,-71.048675,42.350093
706841,41207.01458,150 St James Ave Boston Ma 02116,-71.076528,42.34942
710122,41208.66181,Unnamed Road Boston Ma,-71.017093,42.366253
713419,41207.65347,76 Fargo St Boston Ma 02210,-71.042287,42.345043
716603,41209.96319,40 Exeter Pl Boston Ma,-71.060813,42.353377
719982,41198.78542,80 Lancaster St Boston Ma 02114,-71.062825,42.3644
723046,41210.64375,47 Fargo St Boston Ma 02210,-71.043847,42.346567
726394,41208.82222,Unnamed Road Boston Ma,-71.055595,42.362478
729806,41212.60556,Charles St @ Cambridge St Boston Ma,-71.070718,42.361823
733271,41205.55278,356 W Broadway Boston Ma 02127,-71.049692,42.338062
736368,41209.65903,419 Commercial St Boston Ma 02109,-71.052372,42.367027
739623,41203.02708,160 Tremont St Boston Ma 02111,-71.063515,42.35463
742912,41206.35069,170 Summer St Boston Ma 02110,-71.05596,42.352745
746211,41213.15486,Unnamed Road Boston Ma,-71.021697,42.36495
749306,41206.95,Unnamed Road Boston Ma,-71.072582,42.347963
752597,41207.40625,312 Commonwealth Ave Boston Ma 02115,-71.086132,42.349545
755719,41210.49028,Unnamed Road Boston Ma,-71.083958,42.348762
758985,41201.38958,720 E Broadway Boston Ma 02127,-71.03649,42.335602
762295,41208.36528,584 Tremont St Boston Ma 02118,-71.072932,42.343337
765414,41212.79097,120 Stuart St Boston Ma 02116,-71.065483,42.35109
768765,41202.29931,280 Massachusetts Ave Boston Ma 02115,-71.085995,42.343475
772189,41206.29653,Unnamed Road Boston Ma,-71.022083,42.365162
775291,41208.925,Battery Wharf Boston Ma,-71.050318,42.367347
778828,41210.11528,430 Park Dr Boston Ma,-71.104402,42.345373
782056,41209.79722,34 Union St Boston Ma,-71.05702,42.361088
785385,41210.03819,140 Stuart St Boston Ma 02116,-71.065847,42.351228
788619,41212.97083,84 Huntington Ave Boston Ma,-71.079877,42.34681
791822,41213.43194,Unnamed Road Boston Ma,-71.017177,42.366202
795166,41213.89861,20 Chauncy St Boston Ma 02111,-71.059242,42.354157
798396,41209.90417,95 Jersey St Boston Ma 02215,-71.097262,42.343497
801932,41207.35417,Huntington Ave @ I-90 Boston Ma,-71.07758,42.348462
805037,41207.89792,60 Exeter St Boston Ma 02116,-71.079443,42.349438
808280,41213.28819,280 Essex St Boston Ma 02111,-71.056013,42.351925
811457,41209.94583,347 Congress St Boston Ma 02210,-71.048742,42.350555
814650,41184.38472,60 Exeter St Boston Ma 02116,-71.079345,42.34939
817752,41187.82083,40 Trilling Way Boston Ma 02210,-71.039775,42.348287
821053,41191.62986,Unnamed Road Boston Ma,-71.021175,42.364775
824262,41195.05417,63 Boylston St Boston Ma 02116,-71.064178,42.352468
827564,41199.3875,60 Arch St Boston Ma 02110,-71.058015,42.355595
830649,41202.51736,Unnamed Road Boston Ma,-71.02147,42.364945
833933,41206.64514,High St Boston Ma,-71.052632,42.356293
837140,41209.94375,60 Piedmont St Boston Ma 02116,-71.068997,42.34981
