"TRIP_ID","DROPTIME","DROPADDRESS","DROPLONG","DROPLAT","PICKUPTIME","PICKUPADDRESS","PICKUPLONG","PICKUPLAT"
320134,"11/14/12 7:55 AM","10 Kilby St Boston Ma 02109",-71.055682,42.358962,"11/14/12 7:42 AM","50 Belvidere St Boston Ma 02115",-71.084998,42.346200
339976,"11/12/12 9:08 AM","Summer St Boston Ma",-71.052217,42.351365,"11/12/12 9:02 AM","470 W Broadway Boston Ma 02127",-71.046392,42.335975
359498,"11/20/12 10:23 PM","230 Park Dr Boston Ma",-71.101417,42.342135,"11/20/12 10:12 PM","748 Atlantic Ave Boston Ma 02111",-71.056307,42.350417
379169,"11/12/12 2:04 PM","50 Arlington St Boston Ma 02116",-71.070417,42.350847,"11/12/12 1:56 PM","770 Atlantic Ave Boston Ma 02111",-71.056628,42.350132
398907,"11/17/12 10:57 AM","Unnamed Road Boston Ma",-71.122735,42.368120,"11/17/12 10:49 AM","370 Newbury St Boston Ma 02116",-71.087970,42.348125
419113,"11/14/12 4:40 AM","Unnamed Road Boston Ma",-71.016955,42.366205,"11/14/12 4:40 AM","Unnamed Road Boston Ma",-71.016853,42.366243
439038,"11/17/12 1:46 AM","67 Brookline Ave Boston Ma 02215",-71.098702,42.347118,"11/17/12 1:42 AM","170 Commonwealth Ave Boston Ma 02116",-71.078697,42.351568
459305,"11/18/12 3:34 PM","25 Arlington St Boston Ma 02116",-71.070232,42.351632,"11/18/12 3:18 PM","105 Causeway St Boston Ma 02114",-71.061733,42.365387
479945,"11/16/12 7:04 PM","298 Newbury St Boston Ma 02115",-71.085566,42.348876,"11/16/12 6:44 PM","North St Boston Ma",-71.056231,42.360494
500890,"11/23/12 11:03 PM","530 Columbus Ave Boston Ma 02118",-71.080402,42.341723,"11/23/12 10:56 PM","174 Tremont St Boston Ma 02111",-71.064227,42.353330
521795,"11/20/12 9:12 PM","30 Wesley Pl Boston Ma 02113",-71.054405,42.364052,"11/20/12 8:59 PM","730 Boylston St Boston Ma 02116",-71.080415,42.349252
543182,"11/24/12 3:09 AM","820 Washington St Boston Ma 02111",-71.063910,42.349243,"11/24/12 2:59 AM","830 Washington St Boston Ma 02111",-71.063863,42.349157
564370,"11/29/12 7:15 PM","598 Washington St Boston Ma 02111",-71.062653,42.352957,"11/29/12 7:05 PM","720 E Broadway Boston Ma 02127",-71.036555,42.335585
584792,"11/24/12 5:06 PM","50 Belvidere St Boston Ma 02115",-71.084947,42.346003,"11/24/12 4:52 PM","N351 Boston Ma",-71.022077,42.365733
605720,"11/21/12 7:28 PM","Unnamed Road Boston Ma",-71.068830,42.362610,"11/21/12 7:22 PM","Huntington Ave @ I-90 Boston Ma",-71.079168,42.347515
626981,"11/23/12 12:45 AM","Avon St Boston Ma",-71.061102,42.354510,"11/23/12 12:39 AM","310 Huntington Ave Boston Ma",-71.088825,42.340245
647196,"11/28/12 9:21 PM","1400 Washington St Boston Ma 02118",-71.070497,42.341012,"11/28/12 9:17 PM","153 High St Boston Ma 02110",-71.053415,42.356030
668032,"11/22/12 12:41 AM","10 Noyes Pl Boston Ma 02113",-71.055530,42.365062,"11/22/12 12:38 AM","North St Boston Ma",-71.056342,42.360563
688796,"11/23/12 9:53 PM","370 Atlantic Ave Boston Ma 02110",-71.050810,42.356263,"11/23/12 9:50 PM","350 Congress St Boston Ma 02210",-71.048488,42.350498
708664,"11/30/12 7:47 AM","580 Commonwealth Ave Boston Ma",-71.099380,42.349302,"11/30/12 7:43 AM","37 Dalton St Boston Ma 02115",-71.084390,42.345988
727978,"11/28/12 7:38 AM","Charles St @ Fruit St Boston Ma",-71.070372,42.362868,"11/28/12 7:30 AM","Huntington Ave @ I-90 Boston Ma",-71.079118,42.347308
747466,"11/28/12 11:39 AM","710 Atlantic Ave Boston Ma 02111",-71.056007,42.351543,"11/28/12 11:30 AM","19 Court St Boston Ma 02108",-71.058515,42.359000
767020,"11/13/12 5:02 PM","370 Stuart St Boston Ma 02116",-71.073372,42.349433,"11/13/12 4:46 PM","480 Hanover St Boston Ma 02113",-71.052227,42.367447
